business_id,business_name,review_year,platform,review_count,avg_rating,negative_review_count,pct_negative
B016,The Adobe Grill,2024,Yelp,43,3.627906977,17,0.395348837
B016,The Adobe Grill,2025,Google,516,4.230620155,93,0.180232558
B016,The Adobe Grill,2025,Yelp,276,3.206521739,141,0.510869565
B017,The Chef’s Kitchen,2019,Google,1,5.0,0,0.0
B017,The Chef’s Kitchen,2020,Google,1,5.0,0,0.0
B017,The Chef’s Kitchen,2020,Yelp,168,4.827380952,5,0.029761905
B017,The Chef’s Kitchen,2021,Google,98,4.836734694,4,0.040816327
B017,The Chef’s Kitchen,2021,Yelp,191,4.706806283,13,0.068062827
B017,The Chef’s Kitchen,2022,Google,82,4.524390244,11,0.134146341
B017,The Chef’s Kitchen,2022,Yelp,101,4.742574257,6,0.059405941
B017,The Chef’s Kitchen,2023,Google,77,4.779220779,4,0.051948052
B017,The Chef’s Kitchen,2023,Yelp,104,4.490384615,14,0.134615385
B017,The Chef’s Kitchen,2024,Google,108,4.842592593,4,0.037037037
B017,The Chef’s Kitchen,2024,Yelp,76,4.710526316,5,0.065789474
B017,The Chef’s Kitchen,2025,Google,399,4.704260652,30,0.07518797
B017,The Chef’s Kitchen,2025,Yelp,200,4.56,25,0.125
B018,The Wild Chicken,2007,Yelp,2,4.0,1,0.5
B018,The Wild Chicken,2009,Yelp,2,2.0,2,1.0
B018,The Wild Chicken,2010,Yelp,1,5.0,0,0.0
B018,The Wild Chicken,2011,Yelp,1,3.0,1,1.0
B018,The Wild Chicken,2012,Google,1,1.0,1,1.0
B018,The Wild Chicken,2012,Yelp,3,2.666666667,2,0.666666667
B018,The Wild Chicken,2013,Google,1,4.0,0,0.0
B018,The Wild Chicken,2013,Yelp,10,3.6,5,0.5
B018,The Wild Chicken,2014,Yelp,14,4.0,3,0.214285714
B018,The Wild Chicken,2015,Google,1,3.0,1,1.0
B018,The Wild Chicken,2015,Yelp,9,3.222222222,5,0.555555556
B018,The Wild Chicken,2016,Google,6,3.5,3,0.5
B018,The Wild Chicken,2016,Yelp,12,3.083333333,6,0.5
B018,The Wild Chicken,2017,Google,18,3.833333333,7,0.388888889
B018,The Wild Chicken,2017,Yelp,16,2.25,13,0.8125
B018,The Wild Chicken,2018,Google,38,3.921052632,12,0.315789474
B018,The Wild Chicken,2018,Yelp,9,3.333333333,4,0.444444444
B018,The Wild Chicken,2019,Google,30,4.1,5,0.166666667
B018,The Wild Chicken,2019,Yelp,11,3.454545455,6,0.545454545
B018,The Wild Chicken,2020,Google,35,4.171428571,4,0.114285714
B018,The Wild Chicken,2020,Yelp,6,2.333333333,4,0.666666667
B018,The Wild Chicken,2021,Google,23,3.956521739,7,0.304347826
B018,The Wild Chicken,2021,Yelp,10,2.2,7,0.7
B018,The Wild Chicken,2022,Google,16,4.125,4,0.25
B018,The Wild Chicken,2022,Yelp,15,2.733333333,9,0.6
B018,The Wild Chicken,2023,Google,16,3.9375,5,0.3125
B018,The Wild Chicken,2023,Yelp,13,3.076923077,6,0.461538462
B018,The Wild Chicken,2024,Google,67,4.373134328,10,0.149253731
B018,The Wild Chicken,2024,Yelp,38,3.815789474,12,0.315789474
B018,The Wild Chicken,2025,Google,300,4.14,66,0.22
B018,The Wild Chicken,2025,Yelp,37,2.351351351,26,0.702702703
B019,Business 04,2007,Google,2,5.0,0,0.0
B019,Business 04,2007,Yelp,2,3.5,1,0.5
B019,Business 04,2008,Yelp,1,4.0,0,0.0
B019,Business 04,2009,Yelp,1,4.0,0,0.0
B019,Business 04,2010,Yelp,6,4.0,1,0.166666667
B019,Business 04,2011,Google,1,5.0,0,0.0
B019,Business 04,2011,Yelp,14,4.5,1,0.071428571
B019,Business 04,2012,Yelp,10,3.8,2,0.2
B019,Business 04,2013,Yelp,9,3.888888889,3,0.333333333
B019,Business 04,2014,Google,1,4.0,0,0.0
B019,Business 04,2014,Yelp,10,3.7,3,0.3
B019,Business 04,2015,Yelp,14,3.928571429,4,0.285714286
